John|1|M|1995|3|20|SENIOR|PASSIVE|PASSIVE
Malene|2|F|2015|3|19|JUNIOR|SINGLE|COMPETITIVE
DoubleDouche|3|F|2005|3|19|VETERAN|MIXED|COMPETITIVE
Doofus|4|F|2015|3|19|JUNIOR|DOUBLE,SINGLE|COMPETITIVE
Cille|5|F|1456|4|30|JUNIOR|SINGLE,MIXED|EXERCISE
Bob|6|M|4567|4|2|JUNIOR|SINGLE,DOUBLE,MIXED|EXERCISE
mik|7|m|1984|2|20|VETERAN|SINGLE|PASSIVE
mik|8|m|2000|3|20|JUNIOR|SINGLE|EXERCISE
chef|9|m|200|3|2|JUNIOR|SINGLE|COMPETITIVE
lololleren|10|m|1998|3|2|VETERAN|PASSIVE|EXERCISE
mikkel|11|m|1998|2|3|JUNIOR|SINGLE|PASSIVE
mikkel|12|m|1989|3|3|PASSIVE|PASSIVE|PASSIVE
